Estuary	Parameter	Value	Metadata
AltamahaRiver	TSS (tonne.y-1)	1960	NCPDI_1982-1991
AltamahaRiver	TN (kg.y-1)	15260000	NCPDI_1982-1991
AltamahaRiver	TP (kg.y-1)	799800	NCPDI_1982-1991
AltamahaRiver	TSS/Est Area (tonne.km-2.y-1)	50.3	NCPDI TSS/estuary area (see best FW estimate above)
AltamahaRiver	TN/Est Area (kg.km-2.y-1)	391282.1	NCPDI TN/estuary area (see best FW estimate above)
AltamahaRiver	TP/Est Area (kg.km-2.y-1)	20507.69	NCPDI TP/estuary area (see best FW estimate above)
ApalacheeBay	Estuary Latitude	29.93453	Centerpoint latitude for estuary (centroid Y)
ApalacheeBay	Estuary Longitude	-84.01934	Centerpoint longitude for estuary (centroid X)
ApalacheeBay	Catchment Latitude	30.59122	Centerpoint latitude for catchment (centroid Y)
ApalacheeBay	Catchment Longitude	-84.15836	Centerpoint longitude for catchment (centroid X)
ApalacheeBay	Estuary Area (km2)	1773	Estuary area, calculated from NOAA shapefiles
ApalacheeBay	Tidal Fresh Zone Area (km2)	0	Tidal Fresh area, calculated from NOAA shapefiles
ApalacheeBay	Mixing Zone Area (km2)	35	Mixing Zone area, calculated from NOAA shapefiles
ApalacheeBay	Saltwater Zone Area (km2)	1738	Salt Water area, calculated from NOAA shapefiles
ApalacheeBay	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
ApalacheeBay	Mixing Zone Blackwater	Yes	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
ApalacheeBay	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
ApalacheeBay	Estuary Volume (m3)	3404160000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
ApalacheeBay	Estuary Depth (m)	1.92	From digital bathymetric chart if available; otherwise NOAA planimetry
ApalacheeBay	Estuary Perimeter (km)	517	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
ApalacheeBay	Percent Estuary Open (%)	16.43	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
ApalacheeBay	Catchment Area (km2)	14288	
ApalacheeBay	Catchment Mean Elev. (m)	40	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
ApalacheeBay	Catchment Max Elev. (m)	130	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
ApalacheeBay	Catchment/Estuary Area Ratio	8.1	Area ratio, based on catchment and area data given above
ApalacheeBay	Total (km2)	14162.0579	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalacheeBay	Population (#)	352196	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
ApalacheeBay	Pop / Estuary Area (#.km-2)	198.6	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
ApalacheeBay	Tide Height (m)	0.75	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
ApalacheeBay	Tide Volume (m3)	1329750000	Tide Height (m) x Estuary Area (km2) x 106
ApalacheeBay	Tides/day (#)	2	NOAA designation
ApalacheeBay	Tide Volume / Day (m3.d-1)	2569565217	Calculated from tide V and tides/d
ApalacheeBay	Tide Ratio	0.39	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
ApalacheeBay	Stratification Ratio	0.00476	Total freshwater flux per day divided by tide volume per day
ApalacheeBay	Percent Freshwater (%)	0	Based on NOAA shape files of the 3 zones according to their designation
ApalacheeBay	Percent Mixed Water (%)	2	Based on NOAA shape files of the 3 zones according to their designation
ApalacheeBay	Percent Seawater (%)	98	Based on NOAA shape files of the 3 zones according to their designation
ApalacheeBay	Average Salinity (psu)	29	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
ApalacheeBay	Tidal Exchange (days)	50	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
ApalacheeBay	Tidal Freshwater Flush (d)	3	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
ApalacheeBay	Daily FW/Est Area (m.d-1)	5.409	NOAA estimate of daily flow/estuary area
ApalacheeBay	Daily Freshwater (m3.d-1) (Best)	9590000	NOAA estimate above or (if not available) NCPDI estimate
ApalacheeBay	Flow / Estuary Area (m.d-1) (Best)	5.409	Best estimate/estuary area
ApalacheeBay	Total FW Volume (1.d-1)	0.0036	Best estimate/estuary volume (= hydraulic exchange rate)
ApalacheeBay	Daily Precipitation (m3.d-1)	6880000	Direct precip on system, derived from PRISM shapefile
ApalacheeBay	Daily Evaporation (m3.d-1)	4230000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
ApalacheeBay	Daily Precip / Est Area (mm.d-1)	3.88	Daily precipitation/estuary area
ApalacheeBay	Daily Evap / Est Area (mm.d-1)	2.386	Daily evaporation/estuary area
ApalacheeBay	Flow (m3.d-1)	7040000	NCPDI_1982-1991
ApalacheeBay	Air Temp Mean (C)	20.4	For estuary, derived from LOICZ 0.5 degree database
ApalacheeBay	Air Temp Std Dev (C)	5.8	For estuary, derived from LOICZ 0.5 degree database
ApalacheeBay	Frost Days (#)	22	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
ApalacheeBay	Wind Speed (m.sec-1)	6	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
ApalacheeBay	Sea Surface Temp Mean (C)	23.7	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalacheeBay	Sea Surface Temp Std Dev (C)	4.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalacheeBay	Ocean Salinity Mean (psu)	35.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalacheeBay	Ocean Salinity Max (psu)	36.1	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalacheeBay	Ocean Salinity Min (psu)	33.1	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalacheeBay	Oceanic DIP (µM)	0.11	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
ApalacheeBay	Oceanic NO3 (µM)	0.74	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
ApalacheeBay	TSS (tonne.y-1)	837000	NCPDI_1982-1991
ApalacheeBay	TN (kg.y-1)	2996000	NCPDI_1982-1991
ApalacheeBay	TP (kg.y-1)	228160	NCPDI_1982-1991
ApalacheeBay	TSS/Est Area (tonne.km-2.y-1)	472.1	NCPDI TSS/estuary area (see best FW estimate above)
ApalacheeBay	TN/Est Area (kg.km-2.y-1)	1689.8	NCPDI TN/estuary area (see best FW estimate above)
ApalacheeBay	TP/Est Area (kg.km-2.y-1)	128.69	NCPDI TP/estuary area (see best FW estimate above)
ApalachicolaBay	Estuary Latitude	29.75675	Centerpoint latitude for estuary (centroid Y)
ApalachicolaBay	Estuary Longitude	-84.77106	Centerpoint longitude for estuary (centroid X)
ApalachicolaBay	Catchment Latitude	32.20960	Centerpoint latitude for catchment (centroid Y)
ApalachicolaBay	Catchment Longitude	-84.49969	Centerpoint longitude for catchment (centroid X)
ApalachicolaBay	Estuary Area (km2)	593	Estuary area, calculated from NOAA shapefiles
ApalachicolaBay	Tidal Fresh Zone Area (km2)	46	Tidal Fresh area, calculated from NOAA shapefiles
ApalachicolaBay	Mixing Zone Area (km2)	273	Mixing Zone area, calculated from NOAA shapefiles
ApalachicolaBay	Saltwater Zone Area (km2)	274	Salt Water area, calculated from NOAA shapefiles
ApalachicolaBay	Tidal Fresh Blackwater	Yes	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
ApalachicolaBay	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
ApalachicolaBay	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
ApalachicolaBay	Estuary Volume (m3)	1073330000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
ApalachicolaBay	Estuary Depth (m)	1.81	From digital bathymetric chart if available; otherwise NOAA planimetry
ApalachicolaBay	Estuary Perimeter (km)	402	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
ApalachicolaBay	Percent Estuary Open (%)	2.99	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
ApalachicolaBay	Catchment Area (km2)	52214	
ApalachicolaBay	Catchment Mean Elev. (m)	148	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
ApalachicolaBay	Catchment Max Elev. (m)	1250	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
ApalachicolaBay	Catchment/Estuary Area Ratio	88.1	Area ratio, based on catchment and area data given above
ApalachicolaBay	Total (km2)	51483.7999	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
ApalachicolaBay	Population (#)	2738086	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
ApalachicolaBay	Pop / Estuary Area (#.km-2)	4617.3	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
ApalachicolaBay	Tide Height (m)	0.58	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
ApalachicolaBay	Tide Volume (m3)	343940000	Tide Height (m) x Estuary Area (km2) x 106
ApalachicolaBay	Tides/day (#)	2	NOAA designation
ApalachicolaBay	Tide Volume / Day (m3.d-1)	664618357	Calculated from tide V and tides/d
ApalachicolaBay	Tide Ratio	0.32	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
ApalachicolaBay	Stratification Ratio	0.0976	Total freshwater flux per day divided by tide volume per day
ApalachicolaBay	Percent Freshwater (%)	7.8	Based on NOAA shape files of the 3 zones according to their designation
ApalachicolaBay	Percent Mixed Water (%)	46.1	Based on NOAA shape files of the 3 zones according to their designation
ApalachicolaBay	Percent Seawater (%)	46.2	Based on NOAA shape files of the 3 zones according to their designation
ApalachicolaBay	Average Salinity (psu)	19	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
ApalachicolaBay	Tidal Exchange (days)	8	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
ApalachicolaBay	Tidal Freshwater Flush (d)	4	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
ApalachicolaBay	Daily FW/Est Area (m.d-1)	107.926	NOAA estimate of daily flow/estuary area
ApalachicolaBay	Daily Freshwater (m3.d-1) (Best)	64000000	NOAA estimate above or (if not available) NCPDI estimate
ApalachicolaBay	Flow / Estuary Area (m.d-1) (Best)	107.926	Best estimate/estuary area
ApalachicolaBay	Total FW Volume (1.d-1)	0.06044	Best estimate/estuary volume (= hydraulic exchange rate)
ApalachicolaBay	Daily Precipitation (m3.d-1)	2300000	Direct precip on system, derived from PRISM shapefile
ApalachicolaBay	Daily Evaporation (m3.d-1)	1430000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
ApalachicolaBay	Daily Precip / Est Area (mm.d-1)	3.879	Daily precipitation/estuary area
ApalachicolaBay	Daily Evap / Est Area (mm.d-1)	2.411	Daily evaporation/estuary area
ApalachicolaBay	Flow (m3.d-1)	65600000	NCPDI_1982-1991
ApalachicolaBay	Air Temp Mean (C)	20.8	For estuary, derived from LOICZ 0.5 degree database
ApalachicolaBay	Air Temp Std Dev (C)	5.7	For estuary, derived from LOICZ 0.5 degree database
ApalachicolaBay	Frost Days (#)	16	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
ApalachicolaBay	Wind Speed (m.sec-1)	6	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
ApalachicolaBay	Sea Surface Temp Mean (C)	23.7	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalachicolaBay	Sea Surface Temp Std Dev (C)	4.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalachicolaBay	Ocean Salinity Mean (psu)	35.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalachicolaBay	Ocean Salinity Max (psu)	36.4	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalachicolaBay	Ocean Salinity Min (psu)	32.9	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ApalachicolaBay	Oceanic DIP (µM)	0.13	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
ApalachicolaBay	Oceanic NO3 (µM)	0.87	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
ApalachicolaBay	TSS (tonne.y-1)	127000	NCPDI_1982-1991
ApalachicolaBay	TN (kg.y-1)	25900000	NCPDI_1982-1991
ApalachicolaBay	TP (kg.y-1)	970300	NCPDI_1982-1991
ApalachicolaBay	TSS/Est Area (tonne.km-2.y-1)	214.2	NCPDI TSS/estuary area (see best FW estimate above)
ApalachicolaBay	TN/Est Area (kg.km-2.y-1)	43676.2	NCPDI TN/estuary area (see best FW estimate above)
ApalachicolaBay	TP/Est Area (kg.km-2.y-1)	1636.26	NCPDI TP/estuary area (see best FW estimate above)
AransasBay	Estuary Latitude	28.05706	Centerpoint latitude for estuary (centroid Y)
AransasBay	Estuary Longitude	-96.98356	Centerpoint longitude for estuary (centroid X)
AransasBay	Catchment Latitude	28.28537	Centerpoint latitude for catchment (centroid Y)
AransasBay	Catchment Longitude	-97.39962	Centerpoint longitude for catchment (centroid X)
AransasBay	Estuary Area (km2)	524	Estuary area, calculated from NOAA shapefiles
AransasBay	Tidal Fresh Zone Area (km2)	0	Tidal Fresh area, calculated from NOAA shapefiles
AransasBay	Mixing Zone Area (km2)	372	Mixing Zone area, calculated from NOAA shapefiles
AransasBay	Saltwater Zone Area (km2)	152	Salt Water area, calculated from NOAA shapefiles
AransasBay	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
AransasBay	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
AransasBay	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
AransasBay	Estuary Volume (m3)	513520000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
AransasBay	Estuary Depth (m)	0.98	From digital bathymetric chart if available; otherwise NOAA planimetry
AransasBay	Estuary Perimeter (km)	540	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
AransasBay	Percent Estuary Open (%)	0.13	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
AransasBay	Catchment Area (km2)	6420	
AransasBay	Catchment Mean Elev. (m)	38	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
AransasBay	Catchment Max Elev. (m)	156	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
AransasBay	Catchment/Estuary Area Ratio	12.3	Area ratio, based on catchment and area data given above
AransasBay	Total (km2)	6363.598	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
AransasBay	Population (#)	76928	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
AransasBay	Pop / Estuary Area (#.km-2)	146.8	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
AransasBay	Tide Height (m)	0.23	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
AransasBay	Tide Volume (m3)	120520000	Tide Height (m) x Estuary Area (km2) x 106
AransasBay	Tides/day (#)	1	NOAA designation
AransasBay	Tide Volume / Day (m3.d-1)	116444444	Calculated from tide V and tides/d
AransasBay	Tide Ratio	0.23	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
AransasBay	Stratification Ratio	0.00418	Total freshwater flux per day divided by tide volume per day
AransasBay	Percent Freshwater (%)	0	Based on NOAA shape files of the 3 zones according to their designation
AransasBay	Percent Mixed Water (%)	71	Based on NOAA shape files of the 3 zones according to their designation
AransasBay	Percent Seawater (%)	29	Based on NOAA shape files of the 3 zones according to their designation
AransasBay	Average Salinity (psu)	17	Based on NOAA estimate of freshwater volume, but scaled to \;local coastal salinity\;, below
AransasBay	Tidal Exchange (days)	536	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
AransasBay	Tidal Freshwater Flush (d)	18	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
AransasBay	Daily FW/Est Area (m.d-1)	1.12	NOAA estimate of daily flow/estuary area
AransasBay	Daily Freshwater (m3.d-1) (Best)	587000	NOAA estimate above or (if not available) NCPDI estimate
AransasBay	Flow / Estuary Area (m.d-1) (Best)	1.12	Best estimate/estuary area
AransasBay	Total FW Volume (1.d-1)	0.00095	Best estimate/estuary volume (= hydraulic exchange rate)
AransasBay	Daily Precipitation (m3.d-1)	1290000	Direct precip on system, derived from PRISM shapefile
AransasBay	Daily Evaporation (m3.d-1)	1390000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
AransasBay	Daily Precip / Est Area (mm.d-1)	2.462	Daily precipitation/estuary area
AransasBay	Daily Evap / Est Area (mm.d-1)	2.653	Daily evaporation/estuary area
AransasBay	Flow (m3.d-1)	1480000	NCPDI_1982-1991
AransasBay	Air Temp Mean (C)	21.7	For estuary, derived from LOICZ 0.5 degree database
AransasBay	Air Temp Std Dev (C)	5.7	For estuary, derived from LOICZ 0.5 degree database
AransasBay	Frost Days (#)	9	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
AransasBay	Wind Speed (m.sec-1)	7.1	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
AransasBay	Sea Surface Temp Mean (C)	24.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AransasBay	Sea Surface Temp Std Dev (C)	3.9	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AransasBay	Ocean Salinity Mean (psu)	34.6	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AransasBay	Ocean Salinity Max (psu)	36.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AransasBay	Ocean Salinity Min (psu)	30.4	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
AransasBay	Oceanic DIP (µM)	0.19	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
AransasBay	Oceanic NO3 (µM)	0.12	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
AransasBay	TSS (tonne.y-1)	419000	NCPDI_1982-1991
AransasBay	TN (kg.y-1)	945000	NCPDI_1982-1991
AransasBay	TP (kg.y-1)	52390	NCPDI_1982-1991
AransasBay	TSS/Est Area (tonne.km-2.y-1)	799.6	NCPDI TSS/estuary area (see best FW estimate above)
AransasBay	TN/Est Area (kg.km-2.y-1)	1803.4	NCPDI TN/estuary area (see best FW estimate above)
AransasBay	TP/Est Area (kg.km-2.y-1)	99.98	NCPDI TP/estuary area (see best FW estimate above)
Atchafalaya-VermillionBays	Estuary Latitude	29.67482	Centerpoint latitude for estuary (centroid Y)
Atchafalaya-VermillionBays	Estuary Longitude	-91.87561	Centerpoint longitude for estuary (centroid X)
Atchafalaya-VermillionBays	Catchment Latitude	32.54381	Centerpoint latitude for catchment (centroid Y)
Atchafalaya-VermillionBays	Catchment Longitude	-92.68705	Centerpoint longitude for catchment (centroid X)
Atchafalaya-VermillionBays	Estuary Area (km2)	2227	Estuary area, calculated from NOAA shapefiles
Atchafalaya-VermillionBays	Tidal Fresh Zone Area (km2)	915	Tidal Fresh area, calculated from NOAA shapefiles
Atchafalaya-VermillionBays	Mixing Zone Area (km2)	1312	Mixing Zone area, calculated from NOAA shapefiles
Atchafalaya-VermillionBays	Saltwater Zone Area (km2)	0	Salt Water area, calculated from NOAA shapefiles
Atchafalaya-VermillionBays	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
Atchafalaya-VermillionBays	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
Atchafalaya-VermillionBays	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
Atchafalaya-VermillionBays	Estuary Volume (m3)	2672400000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
Atchafalaya-VermillionBays	Estuary Depth (m)	1.2	From digital bathymetric chart if available; otherwise NOAA planimetry
